08/08/2021 00:46:55|INFO    |root                            |BAZARR Finished searching for missing Series Subtitles. Check History for more information.|
08/08/2021 01:13:01|INFO    |root                            |BAZARR Finished searching for missing Movies Subtitles. Check History for more information.|
08/08/2021 01:23:41|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:33, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:23:51|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:33, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:24:02|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:34, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:24:13|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:34, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:24:24|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:34, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:24:35|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:34, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:24:46|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:34, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:24:56|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:34, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:25:07|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:35, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:25:18|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:35, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:25:28|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:35, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:25:39|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:35, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:25:50|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:35, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:26:01|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:36, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:26:16|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:36, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:26:27|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:36, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:26:37|WARNING |retry.api                       |HTTPSConnectionPool(host='www.podnapisi.net', port=443): Read timed out. (read timeout=10), retrying in 5 seconds...|
08/08/2021 01:26:48|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:36, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:27:01|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:37, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:27:12|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:37, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:27:22|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:37, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:27:33|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:37, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:27:42|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fdee0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:27:43|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:37, because of: ProviderError. Exception info: 'Backend fetch failed'|
08/08/2021 01:27:49|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f107d39f820>, 'Connection to s5.api.bsplayer-subtitles.com timed out. (connect timeout=3)')': /|
08/08/2021 01:27:58|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ac8ff40>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:28:14|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107cddea30>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:28:46|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ad76220>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:28:46|WARNING |retry.api                       |HTTPConnectionPool(host='s5.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ad21c70>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:28:52|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1dcd00>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:28:56|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1dc910>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:29:04|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1dcac0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:29:20|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1dc970>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:29:52|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1dc520>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:29:53|WARNING |retry.api                       |HTTPConnectionPool(host='s5.api.bsplayer-subtitles.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1dc340>: Failed to establish a new connection: [Errno 111] Connection refused')), retrying in 5 seconds...|
08/08/2021 01:29:58|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1dc760>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:30:02|WARNING |urllib3.connectionpool          |Retrying (Retry(total=8, connect=3, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107ad215b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:30:10|WARNING |urllib3.connectionpool          |Retrying (Retry(total=7, connect=2, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107aca3310>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:30:27|WARNING |urllib3.connectionpool          |Retrying (Retry(total=6, connect=1, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fcdf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:30:59|WARNING |urllib3.connectionpool          |Retrying (Retry(total=5, connect=0, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107c1fce20>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:31:10|WARNING |urllib3.connectionpool          |Retrying (Retry(total=9, connect=4, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f107acc86a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /|
08/08/2021 01:31:11|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 21/08/08 01:41, because of: ProviderError. Exception info: 'Backend fetch failed'|
